category,title,packsize,price,price_per_unit,image
beauty/,LACURA Essentials Women's Comfort Touch 3 Blade Disposable Razors 8pk,N/A,3.99,50c per unit,https://www.aldi.com.au/fileadmin/_processed_/5/c/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_11_f02b9d87a7.jpg
beauty/,LACURA Skin Science Renew Expert Double Effect Eye Gel 15ml,N/A,9.99,$66.60/100ml,https://www.aldi.com.au/fileadmin/_processed_/9/1/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_9_93889e4a72.jpg
beauty/,LACURA Skin Science Renew Expert Wrinkle Smoother 15ml,N/A,9.99,$66.60/100ml,https://www.aldi.com.au/fileadmin/_processed_/7/9/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_10_7ffbef2e32.jpg
beauty/,LACURA Skin Science Renew Day Cream SPF 15 50ml,N/A,7.99,$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/6/8/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128__4a518097a6.jpg
beauty/,LACURA Skin Science Renew Night Cream 50ml,N/A,7.99,$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/e/6/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_4_bd338d37dd.jpg
beauty/,LACURA Skin Science Renew Serum 50ml,N/A,7.99,$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/9/0/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_5_e8df2a9cb8.jpg
super-savers/,Urban Eats Pork Dumplings 750g,750g,7.99,$1.07 per 100g,https://www.aldi.com.au/fileadmin/_processed_/d/1/csm_ALN3197_FEB_SSV_1x1_228x128_12_49d51c47f0.jpg
super-savers/,Asia Specialities Stir Fry Sauce 500g,500g,1.99,40c per 100g,https://www.aldi.com.au/fileadmin/_processed_/b/7/csm_ALN3197_FEB_SSV_1x1_228x128_13_b8eeb738ae.jpg
super-savers/,Nestlé Milo 1.25kg,1.25kg,12.49,$1.00 per 100g,https://www.aldi.com.au/fileadmin/_processed_/b/8/csm_ALN3197_FEB_SSV_1x1_228x128_14_a5abbfdb67.jpg
super-savers/,Hillcrest Muesli Bars 15pk/470g,15pk,2.99,64c per 100g,https://www.aldi.com.au/fileadmin/_processed_/2/0/csm_ALN3197_FEB_SSV_1x1_228x128_15_R_0189a594d4.jpg
super-savers/,Hillcrest Premium Muesli Bars 6pk/270g,6pk,2.99,$1.11 per 100g,https://www.aldi.com.au/fileadmin/_processed_/5/7/csm_ALN3197_FEB_SSV_1x1_228x128_16_a6697d84d7.jpg
beauty/,LACURA Skin Science Renew Expert Day Cream SPF 15 50ml ,N/A,10.99,$21.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/0/8/csm_ALN2364_AWARDS_HEALTH-AND-BEAUTY_1x1_228x128__062953c66a.jpg
beauty/,LACURA Skin Science Renew Expert Night Cream SPF 15 50ml ,N/A,10.99,$21.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/8/f/csm_ALN2364_AWARDS_HEALTH-AND-BEAUTY_1x1_228x128_2_528fdaf309.jpg
beauty/,LACURA Essentials Renew Cleansing Wipes 30pk,N/A,1.69,6c per wipe,https://www.aldi.com.au/fileadmin/_processed_/f/8/csm_ALC7782_THE_BLOCK_1x1_228x128_49_b2fd8e8bc4.jpg
beauty/,LACURA Skin Science Revive Hyaluronic Gel 30ml,N/A,10.99,$36.63 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/3/f/csm_ALN2364_AWARDS_HEALTH-AND-BEAUTY_1x1_228x128_3_143a22473a.jpg
beauty/,LACURA Skin Science Revive Night Elixir 30ml ,N/A,10.99,$36.63 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/2/b/csm_ALN2364_AWARDS_HEALTH-AND-BEAUTY_1x1_228x128_4_c9cee72591.jpg
super-savers/,Flying Power Energy Drink 250ml,250ml,79.0c,$3.16 per litre,https://www.aldi.com.au/fileadmin/_processed_/f/2/csm_ALN3197_FEB_SSV_1x1_228x128_17_e259c85602.jpg
super-savers/,Blackstone Vegetable Straws 110g,110g,1.99,$1.81 per 100g,https://www.aldi.com.au/fileadmin/_processed_/f/e/csm_ALN3197_FEB_SSV_1x1_228x128_18_461ebf7217.jpg
super-savers/,Sweet Vine Coated Sultana 6pk/180g,6pk,2.69,$14.94 per kg,https://www.aldi.com.au/fileadmin/_processed_/3/8/csm_ALN3197_FEB_SSV_1x1_228x128_19_006a14286e.jpg
super-savers/,"Bakers Life Lower Carb, Higher Protein Bread 600g",600g,4.49,75c per 100g,https://www.aldi.com.au/fileadmin/_processed_/8/4/csm_ALN3197_FEB_SSV_1x1_228x128_20_47968101c3.jpg
super-savers/,Bakers Life Lower Carb High Protein Burger Buns 2pk/140g,2pk,2.49,$1.78 per 100g,https://www.aldi.com.au/fileadmin/_processed_/0/6/csm_ALN3197_FEB_SSV_1x1_228x128_21_e28a7b2f37.jpg
super-savers/,Kaiora Bay Marlborough Reserve Sauvignon Blanc 2020 750ml,750ml,8.99,N/A,https://www.aldi.com.au/fileadmin/_processed_/5/c/csm_ALN3197_FEB_SSV_1x1_228x128_22_f82dc56936.jpg
beauty/,LACURA Skin Science Revive Moisture Boost 15ml,N/A,10.99,$73.27 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/5/d/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_42_6f40505af1.jpg
beauty/,LACURA Skin Science Revitalise Expert Day Cream 50ml,N/A,10.99,$21.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/7/c/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_11R_1ab1f158f5.jpg
